year,month,day,day_of_week,temperature,rain,solar,snow,wind,wind_dir,pressure,humidity,cloud
2018,5,18,friday,23.4,0,24.21,0,3.0,SSE,1002.4,82,7.8
2018,5,19,saturday,21.5,0.0,13.61,0,3.9,S,1000.4,70,7.5
2018,5,20,sunday,16.8,0,27.97,0,3.5,NE,1015.3,51,4.3
2018,5,21,monday,20.3,0,26.79,0,2.4,S,1017.0,48,10.0
2018,5,22,tuesday,21.0,0,28.67,0,3.1,SSE,1015.6,55,0.3
2018,5,23,wednesday,18.6,9.0,9.07,0,2.3,SE,1007.4,85,10.0
2018,5,24,thursday,20.7,6.0,21.03,0,2.8,S,1001.6,82,6.0
2018,5,25,friday,22.8,0,21.71,0,3.7,S,1003.8,72,8.3
2018,5,26,saturday,21.4,0,16.12,0,2.7,ENE,1006.6,63,9.8
2018,5,27,sunday,21.3,0,26.61,0,2.9,ENE,1008.1,72,3.3
2018,5,28,monday,21.6,0,10.12,0,2.5,S,1010.4,76,10.0
2018,5,29,tuesday,23.0,0,18.24,0,3.2,S,1012.2,73,10.0
2018,5,30,wednesday,21.1,8.5,9.72,0,2.6,S,1010.7,86,10.0
2018,5,31,thursday,19.5,0.0,8.09,0,2.4,SSW,1003.5,87,10.0
2018,6,1,friday,21.7,0.0,25.58,0,3.4,NNW,1007.5,57,8.0
2018,6,2,saturday,21.9,0,25.67,0,2.4,S,1013.0,65,3.8
2018,6,3,sunday,22.5,0,25.06,0,2.8,SSE,1013.9,68,4.3
2018,6,4,monday,23.5,0,29.70,0,2.8,SSE,1012.8,64,3.0
2018,6,5,tuesday,23.2,0.0,18.92,0,2.3,S,1011.8,69,7.5
2018,6,6,wednesday,20.3,12.5,6.08,0,1.7,SW,1010.3,92,10.0
2018,6,7,thursday,22.2,1.5,22.77,0,2.6,S,1010.3,81,7.8
2018,6,8,friday,23.7,1.0,21.33,0,4.0,S,1005.1,79,7.3
2018,6,9,saturday,25.7,0.0,23.16,0,2.7,SE,1001.2,74,8.8
