"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年03月08日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A1301","","A1303","","B1101","","#A06601","","#A06602","","#F01301","","#M0210101","","#M0210201",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A1301_１５歳未満人口【人】","注釈","A1303_６５歳以上人口【人】","注釈","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","#A06601_婚姻率（人口千人当たり）【‐】","注釈","#A06602_離婚率（人口千人当たり）【‐】","注釈","#F01301_完全失業率【％】","注釈","#M0210101_仕事の平均時間［有業者・男］【分】","注釈","#M0210201_仕事の平均時間［有業者・女］【分】","注釈"
"2015100000","2015年度","32000","島根県","","694,352","","86,056","","222,648","","670,804","","4.22","","1.47","","2.9","","***","","***",""
"2015100000","2015年度","33000","岡山県","","1,921,525","","247,890","","540,876","","711,450","","4.82","","1.72","","4.1","","***","","***",""
"2015100000","2015年度","34000","広島県","","2,843,990","","375,890","","774,440","","847,945","","4.82","","1.74","","3.7","","***","","***",""
"2015100000","2015年度","35000","山口県","","1,404,729","","170,022","","447,862","","611,230","","4.20","","1.72","","4.0","","***","","***",""
"2015100000","2015年度","36000","徳島県","","755,733","","87,030","","230,914","","414,665","","4.27","","1.60","","5.0","","***","","***",""
"2015100000","2015年度","37000","香川県","","976,263","","122,324","","286,296","","187,672","","4.74","","1.81","","4.0","","***","","***",""
"2015100000","2015年度","38000","愛媛県","","1,385,262","","169,110","","417,186","","567,611","","4.40","","1.73","","4.4","","***","","***",""
"2015100000","2015年度","39000","高知県","","728,276","","83,884","","237,012","","710,393","","4.20","","1.86","","4.9","","***","","***",""
"2015100000","2015年度","40000","福岡県","","5,101,556","","676,045","","1,304,764","","498,640","","5.40","","1.97","","5.3","","***","","***",""
"2015100000","2015年度","41000","佐賀県","","832,832","","116,122","","229,335","","244,068","","4.43","","1.63","","4.1","","***","","***",""
"2015100000","2015年度","42000","長崎県","","1,377,187","","177,562","","404,686","","413,209","","4.44","","1.67","","4.4","","***","","***",""
"2015100000","2015年度","43000","熊本県","","1,786,170","","241,167","","511,484","","740,935","","4.62","","1.84","","4.5","","***","","***",""
"2015100000","2015年度","44000","大分県","","1,166,338","","146,413","","351,745","","634,071","","4.56","","1.77","","4.5","","***","","***",""
"2015100000","2015年度","45000","宮崎県","","1,104,069","","149,608","","322,975","","773,531","","4.57","","2.09","","4.6","","***","","***",""
"2015100000","2015年度","46000","鹿児島県","","1,648,177","","220,751","","479,734","","918,694","","4.69","","1.87","","4.7","","***","","***",""
"2015100000","2015年度","47000","沖縄県","","1,433,566","","247,206","","278,337","","228,112","","6.07","","2.51","","6.3","","***","","***",""
"2014100000","2014年度","01000","北海道","","5,410,000","","621,000","","1,519,000","","7,842,116","","4.81","","2.03","","***","","***","","***",""
"2014100000","2014年度","02000","青森県","","1,323,000","","155,000","","383,000","","964,540","","4.14","","1.66","","***","","***","","***",""
"2014100000","2014年度","03000","岩手県","","1,290,000","","156,000","","380,000","","1,527,501","","4.25","","1.44","","***","","***","","***",""
"2014100000","2014年度","04000","宮城県","","2,335,000","","297,000","","573,000","","728,214","","5.04","","1.64","","***","","***","","***",""
"2014100000","2014年度","05000","秋田県","","1,037,000","","112,000","","339,000","","1,163,754","","3.70","","1.39","","***","","***","","***",""
"2014100000","2014年度","06000","山形県","","1,134,000","","139,000","","338,000","","932,315","","4.14","","1.47","","***","","***","","***",""
"2014100000","2014年度","07000","福島県","","1,927,000","","241,000","","537,000","","1,378,375","","4.52","","1.64","","***","","***","","***",""
"2014100000","2014年度","08000","茨城県","","2,927,000","","376,000","","754,000","","609,693","","4.71","","1.69","","***","","***","","***",""
"2014100000","2014年度","09000","栃木県","","1,980,000","","257,000","","498,000","","640,809","","4.93","","1.68","","***","","***","","***",""
"2014100000","2014年度","10000","群馬県","","1,979,000","","258,000","","529,000","","636,228","","4.59","","1.67","","***","","***","","***",""
"2014100000","2014年度","11000","埼玉県","","7,247,000","","929,000","","1,737,000","","379,775","","4.86","","1.72","","***","","***","","***",""
"2014100000","2014年度","12000","千葉県","","6,209,000","","778,000","","1,571,000","","515,764","","4.92","","1.71","","***","","***","","***",""
"2014100000","2014年度","13000","東京都","","13,399,000","","1,517,000","","3,011,000","","219,090","","6.49","","1.77","","***","","***","","***",""
"2014100000","2014年度","14000","神奈川県","","9,103,000","","1,161,000","","2,115,000","","241,581","","5.37","","1.76","","***","","***","","***",""
"2014100000","2014年度","15000","新潟県","","2,320,000","","282,000","","672,000","","1,258,410","","4.29","","1.37","","***","","***","","***",""
"2014100000","2014年度","16000","富山県","","1,072,000","","133,000","","318,000","","424,761","","4.24","","1.32","","***","","***","","***",""
"2014100000","2014年度","17000","石川県","","1,157,000","","152,000","","313,000","","418,615","","4.64","","1.48","","***","","***","","***",""
"2014100000","2014年度","18000","福井県","","791,000","","106,000","","220,000","","419,043","","4.69","","1.43","","***","","***","","***",""
"2014100000","2014年度","19000","山梨県","","841,000","","106,000","","231,000","","446,499","","4.43","","1.67","","***","","***","","***",""
"2014100000","2014年度","20000","長野県","","2,110,000","","278,000","","615,000","","1,356,156","","4.51","","1.55","","***","","***","","***",""
"2014100000","2014年度","21000","岐阜県","","2,043,000","","274,000","","557,000","","1,062,129","","4.44","","1.56","","***","","***","","***",""
"2014100000","2014年度","22000","静岡県","","3,715,000","","488,000","","998,000","","777,870","","4.86","","1.73","","***","","***","","***",""
"2014100000","2014年度","23000","愛知県","","7,464,000","","1,041,000","","1,728,000","","517,240","","5.55","","1.71","","***","","***","","***",""
"2014100000","2014年度","24000","三重県","","1,826,000","","241,000","","495,000","","577,439","","4.69","","1.70","","***","","***","","***",""
"2014100000","2014年度","25000","滋賀県","","1,414,000","","207,000","","332,000","","401,738","","4.94","","1.58","","***","","***","","***",""
"2014100000","2014年度","26000","京都府","","2,616,000","","322,000","","701,000","","461,220","","4.84","","1.71","","***","","***","","***",""
"2014100000","2014年度","27000","大阪府","","8,845,000","","1,122,000","","2,267,000","","190,499","","5.31","","2.02","","***","","***","","***",""
"2014100000","2014年度","28000","兵庫県","","5,550,000","","732,000","","1,460,000","","840,090","","4.85","","1.73","","***","","***","","***",""
"2014100000","2014年度","29000","奈良県","","1,373,000","","173,000","","383,000","","369,094","","4.37","","1.62","","***","","***","","***",""
"2014100000","2014年度","30000","和歌山県","","972,000","","119,000","","296,000","","472,468","","4.55","","1.97","","***","","***","","***",""
"2014100000","2014年度","31000","鳥取県","","577,000","","75,000","","167,000","","350,705","","4.62","","1.78","","***","","***","","***",""
"2014100000","2014年度","32000","島根県","","699,000","","88,000","","221,000","","670,803","","4.32","","1.38","","***","","***","","***",""
"2014100000","2014年度","33000","岡山県","","1,926,000","","256,000","","540,000","","711,462","","4.81","","1.67","","***","","***","","***",""
